timestep,aqi,fan_speed
10370,1.0,0.0
10380,1.0,0.1
10390,1.0,0.0
10400,1.0,0.1
10410,1.0,0.0
10420,1.0,0.0
10430,1.0,0.0
10440,1.0,0.1
10450,1.0,0.0
10460,1.0,0.0
10470,1.0,0.0
10480,1.0,0.2
10490,1.0,0.0
10500,1.0,0.1
10510,1.0,0.0
10520,1.0,0.0
10530,1.0,0.0
10540,1.0,0.0
10550,1.0,0.2
10560,1.0,0.0
10570,1.0,0.0
10580,1.0,0.0
10590,1.0,0.1
10600,1.0,0.0
10610,1.0,0.0
10620,1.0,0.1
10630,1.0,0.0
10640,1.0,0.1
10650,1.0,0.0
10660,1.0,0.3
10670,1.0,0.4
10680,1.0,0.1
10690,1.0,0.1
10700,1.0,0.1
10710,1.0,0.2
10720,1.0,0.0
10730,1.0,0.0
10740,1.0,0.2
10750,1.0,0.0
10760,1.0,0.0
10770,1.0,0.0
10780,1.0,0.0
10790,1.0,0.2
10800,1.0,0.0
10810,1.0,0.0
10820,1.0,0.0
10830,1.0,0.0
10840,1.0,0.0
10850,1.0,0.1
10860,1.0,0.1
10870,1.0,0.1
10880,1.0,0.0
10890,1.0,0.1
10900,1.0,0.0
10910,1.0,0.1
10920,1.0,0.1
10930,1.0,0.0
10940,1.0,0.0
10950,1.0,0.0
10960,1.0,0.0
10970,1.0,0.0
10980,1.0,0.0
10990,1.0,0.1
11000,1.0,0.0
11010,1.0,0.0
11020,1.0,0.0
11030,1.0,0.0
11040,1.0,0.0
11050,1.0,0.1
11060,1.0,2.7755576e-17
11070,1.0,0.0
11080,1.0,0.0
11090,1.0,0.1
11100,1.0,0.1
11110,1.0,0.2
11120,1.0,0.0
11130,1.0,0.0
11140,1.0,0.1
11150,1.0,0.0
11160,1.0,0.0
11170,1.0,0.2
11180,1.0,0.0
11190,1.0,0.0
11200,1.0,0.1
11210,1.0,0.0
11220,1.0,0.0
11230,1.0,0.0
11240,1.0,0.0
11250,1.0,0.1
11260,1.0,0.0
11270,1.0,0.0
11280,1.0,0.0
11290,1.0,0.0
11300,1.0,0.0
11310,1.0,0.1
11320,1.0,0.4
11330,1.0,2.7755576e-17
11340,1.0,0.0
11350,1.0,0.1
11360,1.0,0.1
11370,1.0,0.0
11380,1.0,0.1
11390,1.0,0.1
11400,1.0,0.1
11410,1.0,0.2
11420,1.0,0.0
11430,1.0,0.1
11440,1.0,0.1
11450,1.0,0.2
11460,1.0,0.1
11470,1.0,0.2
11480,1.0,0.4
11490,1.0,0.1
11500,1.0,0.0
11510,1.0,0.0
11520,1.0,0.1
11530,1.0,0.1
11540,1.0,0.0
11550,1.0,0.0
11560,1.0,0.0
11570,1.0,0.2
11580,1.0,0.0
11590,1.0,0.1
11600,1.0,0.1
11610,1.0,0.2
11620,1.0,0.0
11630,1.0,0.0
11640,1.0,0.1
11650,1.0,0.2
11660,1.0,0.1
11670,1.0,0.1
11680,1.0,0.0
11690,1.0,0.0
11700,1.0,0.0
11710,1.0,0.1
11720,1.0,0.0
11730,1.0,0.1
11740,1.0,0.1
11750,1.0,0.0
11760,1.0,0.0
11770,1.0,0.2
11780,1.0,0.3
11790,1.0,0.2
11800,1.0,2.7755576e-17
11810,1.0,0.0
11820,1.0,0.0
11830,1.0,0.0
11840,1.0,0.2
11850,1.0,0.0
11860,1.0,0.2
11870,1.0,2.7755576e-17
11880,1.0,0.1
11890,1.0,0.0
11900,1.0,0.2
11910,1.0,0.5
11920,1.0,0.4
11930,1.0,0.4
11940,1.0,0.3
11950,1.0,0.2
11960,1.0,0.0
11970,1.0,0.0
11980,1.0,0.0
11990,1.0,0.0
12000,1.0,0.0
12010,1.0,0.1
12020,1.0,0.0
12030,1.0,0.0
12040,1.0,0.0
12050,1.0,0.1
12060,1.0,0.1
12070,1.0,0.0
12080,1.0,0.3
12090,1.0,2.7755576e-17
12100,1.0,0.0
12110,1.0,0.0
12120,1.0,0.2
12130,1.0,0.2
12140,1.0,0.0
12150,1.0,0.1
12160,1.0,0.3
12170,1.0,0.2
12180,1.0,0.0
12190,1.0,0.1
12200,1.0,0.0
12210,1.0,0.2
12220,1.0,0.2
12230,1.0,0.2
12240,1.0,0.0
12250,1.0,0.0
12260,1.0,0.0
12270,1.0,0.2
12280,1.0,2.7755576e-17
12290,1.0,0.1
12300,1.0,0.1
12310,1.0,0.0
12320,1.0,0.0
12330,1.0,0.0
12340,1.0,0.0
12350,1.0,0.0
12360,1.0,0.0
12370,1.0,0.0
12380,1.0,0.1
12390,1.0,0.0
12400,1.0,0.0
12410,1.0,0.0
12420,1.0,0.1
12430,1.0,0.0
12440,1.0,0.0
12450,1.0,0.0
12460,1.0,0.2
12470,1.0,0.1
12480,1.0,0.3
